一卡通号,姓名,归属教师一卡通号,归属教师姓名
2099000201,冯助教01,2099000101,陆嘉明
2099000202,袁助教02,2099000102,叶舒然
2099000203,秦助教03,2099000102,叶舒然
2099000204,秦助教04,2099000103,汪清源
2099000205,苏助教05,2099000104,程以安
2099000206,田助教06,2099000104,程以安
2099000207,田助教07,2099000105,郭星澜
2099000208,杜助教08,2099000106,方知远
2099000209,韩助教09,2099000106,方知远
2099000210,韩助教10,2099000107,姜若谷
2099000211,冯助教11,2099000108,夏明礼
2099000212,邹助教12,2099000108,夏明礼
2099000213,邹助教13,2099000109,罗修齐
2099000214,秦助教14,2099000110,白景和
2099000215,孟助教15,2099000110,白景和
2099000216,孟助教16,2099000111,曹听澜
2099000217,田助教17,2099000112,魏嘉树
2099000218,宋助教18,2099000112,魏嘉树
2099000219,宋助教19,2099000113,贺长风
2099000220,韩助教20,2099000114,潘明岚
2099000221,袁助教21,2099000114,潘明岚
2099000222,袁助教22,2099000115,薛以恒
2099000223,邹助教23,2099000116,邵文清
2099000224,苏助教24,2099000116,邵文清
2099000225,苏助教25,2099000117,任柏舟
2099000226,孟助教26,2099000118,董初晴
2099000227,杜助教27,2099000118,董初晴
2099000228,杜助教28,2099000119,傅景深
2099000229,宋助教29,2099000120,尹知微
2099000230,冯助教30,2099000120,尹知微
