一卡通号,姓名,年级,专业,行政班,届次
2099001001,陈一航001,2023,软件工程,软工2301,2027
2099001002,林一航002,2023,数据科学,数科2301,2027
2099001003,赵一航003,2023,人工智能,智能2301,2027
2099001004,沈一航004,2023,网络空间安全,网安2301,2027
2099001005,周一航005,2023,计算机科学与技术,计科2301,2027
2099001006,吴一航006,2023,软件工程,软工2302,2027
2099001007,何一航007,2023,数据科学,数科2302,2027
2099001008,许一航008,2023,人工智能,智能2302,2027
2099001009,郑一航009,2023,网络空间安全,网安2302,2027
2099001010,唐一航010,2023,计算机科学与技术,计科2302,2027
2099001011,梁一航011,2023,软件工程,软工2303,2027
2099001012,顾一航012,2023,数据科学,数科2303,2027
2099001013,陆一航013,2023,人工智能,智能2303,2027
2099001014,叶一航014,2023,网络空间安全,网安2303,2027
2099001015,宋一航015,2023,计算机科学与技术,计科2303,2027
2099001016,韩一航016,2023,软件工程,软工2304,2027
2099001017,冯一航017,2023,数据科学,数科2304,2027
2099001018,袁一航018,2023,人工智能,智能2304,2027
2099001019,邹一航019,2023,网络空间安全,网安2304,2027
2099001020,秦一航020,2023,计算机科学与技术,计科2304,2027
2099001021,陈若溪021,2023,软件工程,软工2301,2027
2099001022,林若溪022,2023,数据科学,数科2301,2027
2099001023,赵若溪023,2023,人工智能,智能2301,2027
2099001024,沈若溪024,2023,网络空间安全,网安2301,2027
2099001025,周若溪025,2023,计算机科学与技术,计科2301,2027
2099001026,吴若溪026,2023,软件工程,软工2302,2027
2099001027,何若溪027,2023,数据科学,数科2302,2027
2099001028,许若溪028,2023,人工智能,智能2302,2027
2099001029,郑若溪029,2023,网络空间安全,网安2302,2027
2099001030,唐若溪030,2023,计算机科学与技术,计科2302,2027
2099001031,梁若溪031,2023,软件工程,软工2303,2027
2099001032,顾若溪032,2023,数据科学,数科2303,2027
2099001033,陆若溪033,2023,人工智能,智能2303,2027
2099001034,叶若溪034,2023,网络空间安全,网安2303,2027
2099001035,宋若溪035,2023,计算机科学与技术,计科2303,2027
2099001036,韩若溪036,2023,软件工程,软工2304,2027
2099001037,冯若溪037,2023,数据科学,数科2304,2027
2099001038,袁若溪038,2023,人工智能,智能2304,2027
2099001039,邹若溪039,2023,网络空间安全,网安2304,2027
2099001040,秦若溪040,2023,计算机科学与技术,计科2304,2027
2099001041,陈明远041,2023,软件工程,软工2301,2027
2099001042,林明远042,2023,数据科学,数科2301,2027
2099001043,赵明远043,2023,人工智能,智能2301,2027
2099001044,沈明远044,2023,网络空间安全,网安2301,2027
2099001045,周明远045,2023,计算机科学与技术,计科2301,2027
2099001046,吴明远046,2023,软件工程,软工2302,2027
2099001047,何明远047,2023,数据科学,数科2302,2027
2099001048,许明远048,2023,人工智能,智能2302,2027
2099001049,郑明远049,2023,网络空间安全,网安2302,2027
2099001050,唐明远050,2023,计算机科学与技术,计科2302,2027
2099001051,梁明远051,2023,软件工程,软工2303,2027
2099001052,顾明远052,2023,数据科学,数科2303,2027
2099001053,陆明远053,2023,人工智能,智能2303,2027
2099001054,叶明远054,2023,网络空间安全,网安2303,2027
2099001055,宋明远055,2023,计算机科学与技术,计科2303,2027
2099001056,韩明远056,2023,软件工程,软工2304,2027
2099001057,冯明远057,2023,数据科学,数科2304,2027
2099001058,袁明远058,2023,人工智能,智能2304,2027
2099001059,邹明远059,2023,网络空间安全,网安2304,2027
2099001060,秦明远060,2023,计算机科学与技术,计科2304,2027
2099001061,陈知夏061,2023,软件工程,软工2301,2027
2099001062,林知夏062,2023,数据科学,数科2301,2027
2099001063,赵知夏063,2023,人工智能,智能2301,2027
2099001064,沈知夏064,2023,网络空间安全,网安2301,2027
2099001065,周知夏065,2023,计算机科学与技术,计科2301,2027
2099001066,吴知夏066,2023,软件工程,软工2302,2027
2099001067,何知夏067,2023,数据科学,数科2302,2027
2099001068,许知夏068,2023,人工智能,智能2302,2027
2099001069,郑知夏069,2023,网络空间安全,网安2302,2027
2099001070,唐知夏070,2023,计算机科学与技术,计科2302,2027
2099001071,梁知夏071,2023,软件工程,软工2303,2027
2099001072,顾知夏072,2023,数据科学,数科2303,2027
2099001073,陆知夏073,2023,人工智能,智能2303,2027
2099001074,叶知夏074,2023,网络空间安全,网安2303,2027
2099001075,宋知夏075,2023,计算机科学与技术,计科2303,2027
2099001076,韩知夏076,2023,软件工程,软工2304,2027
2099001077,冯知夏077,2023,数据科学,数科2304,2027
2099001078,袁知夏078,2023,人工智能,智能2304,2027
2099001079,邹知夏079,2023,网络空间安全,网安2304,2027
2099001080,秦知夏080,2023,计算机科学与技术,计科2304,2027
2099001081,陈景行081,2023,软件工程,软工2301,2027
2099001082,林景行082,2023,数据科学,数科2301,2027
2099001083,赵景行083,2023,人工智能,智能2301,2027
2099001084,沈景行084,2023,网络空间安全,网安2301,2027
2099001085,周景行085,2023,计算机科学与技术,计科2301,2027
2099001086,吴景行086,2023,软件工程,软工2302,2027
2099001087,何景行087,2023,数据科学,数科2302,2027
2099001088,许景行088,2023,人工智能,智能2302,2027
2099001089,郑景行089,2023,网络空间安全,网安2302,2027
2099001090,唐景行090,2023,计算机科学与技术,计科2302,2027
2099001091,梁景行091,2023,软件工程,软工2303,2027
2099001092,顾景行092,2023,数据科学,数科2303,2027
2099001093,陆景行093,2023,人工智能,智能2303,2027
2099001094,叶景行094,2023,网络空间安全,网安2303,2027
2099001095,宋景行095,2023,计算机科学与技术,计科2303,2027
2099001096,韩景行096,2023,软件工程,软工2304,2027
2099001097,冯景行097,2023,数据科学,数科2304,2027
2099001098,袁景行098,2023,人工智能,智能2304,2027
2099001099,邹景行099,2023,网络空间安全,网安2304,2027
2099001100,秦景行100,2023,计算机科学与技术,计科2304,2027
2099001101,陈念安101,2023,软件工程,软工2301,2027
2099001102,林念安102,2023,数据科学,数科2301,2027
2099001103,赵念安103,2023,人工智能,智能2301,2027
2099001104,沈念安104,2023,网络空间安全,网安2301,2027
2099001105,周念安105,2023,计算机科学与技术,计科2301,2027
2099001106,吴念安106,2023,软件工程,软工2302,2027
2099001107,何念安107,2023,数据科学,数科2302,2027
2099001108,许念安108,2023,人工智能,智能2302,2027
2099001109,郑念安109,2023,网络空间安全,网安2302,2027
2099001110,唐念安110,2023,计算机科学与技术,计科2302,2027
2099001111,梁念安111,2023,软件工程,软工2303,2027
2099001112,顾念安112,2023,数据科学,数科2303,2027
2099001113,陆念安113,2023,人工智能,智能2303,2027
2099001114,叶念安114,2023,网络空间安全,网安2303,2027
2099001115,宋念安115,2023,计算机科学与技术,计科2303,2027
2099001116,韩念安116,2023,软件工程,软工2304,2027
2099001117,冯念安117,2023,数据科学,数科2304,2027
2099001118,袁念安118,2023,人工智能,智能2304,2027
2099001119,邹念安119,2023,网络空间安全,网安2304,2027
2099001120,秦念安120,2023,计算机科学与技术,计科2304,2027
2099001121,陈清越121,2023,软件工程,软工2301,2027
2099001122,林清越122,2023,数据科学,数科2301,2027
2099001123,赵清越123,2023,人工智能,智能2301,2027
2099001124,沈清越124,2023,网络空间安全,网安2301,2027
2099001125,周清越125,2023,计算机科学与技术,计科2301,2027
2099001126,吴清越126,2023,软件工程,软工2302,2027
2099001127,何清越127,2023,数据科学,数科2302,2027
2099001128,许清越128,2023,人工智能,智能2302,2027
