一卡通号,姓名,学院,职称,工号,研究方向
2099000101,陆嘉明,计算机学院,教授,T-ACC-0001,软件工程实践
2099000102,叶舒然,计算机学院,副教授,T-ACC-0002,数据系统设计
2099000103,汪清源,计算机学院,讲师,T-ACC-0003,AI 产品原型
2099000104,程以安,计算机学院,实验师,T-ACC-0004,Web 全栈开发
2099000105,郭星澜,计算机学院,教授,T-ACC-0005,移动应用开发
2099000106,方知远,计算机学院,副教授,T-ACC-0006,云原生应用实践
2099000107,姜若谷,计算机学院,讲师,T-ACC-0007,机器学习工程
2099000108,夏明礼,计算机学院,实验师,T-ACC-0008,数据可视化
2099000109,罗修齐,计算机学院,教授,T-ACC-0009,网络安全攻防
2099000110,白景和,计算机学院,副教授,T-ACC-0010,编译原理实践
2099000111,曹听澜,计算机学院,讲师,T-ACC-0011,操作系统课程设计
2099000112,魏嘉树,计算机学院,实验师,T-ACC-0012,数据库课程设计
2099000113,贺长风,计算机学院,教授,T-ACC-0013,人机交互设计
2099000114,潘明岚,计算机学院,副教授,T-ACC-0014,软件测试与质量
2099000115,薛以恒,计算机学院,讲师,T-ACC-0015,大数据平台实践
2099000116,邵文清,计算机学院,实验师,T-ACC-0016,自然语言处理
2099000117,任柏舟,计算机学院,教授,T-ACC-0017,计算机视觉应用
2099000118,董初晴,计算机学院,副教授,T-ACC-0018,分布式系统实践
2099000119,傅景深,计算机学院,讲师,T-ACC-0019,信息系统分析
2099000120,尹知微,计算机学院,实验师,T-ACC-0020,创新创业项目实践
