课程号,课程名,教师一卡通号,教师姓名,项目数
ACC-2026-01,软件工程实践,2099000101,陆嘉明,2
ACC-2026-02,数据系统设计,2099000102,叶舒然,1
ACC-2026-03,AI 产品原型,2099000103,汪清源,1
ACC-2026-04,Web 全栈开发,2099000104,程以安,1
ACC-2026-05,移动应用开发,2099000105,郭星澜,1
ACC-2026-06,云原生应用实践,2099000106,方知远,2
ACC-2026-07,机器学习工程,2099000107,姜若谷,1
ACC-2026-08,数据可视化,2099000108,夏明礼,1
ACC-2026-09,网络安全攻防,2099000109,罗修齐,1
ACC-2026-10,编译原理实践,2099000110,白景和,1
ACC-2026-11,操作系统课程设计,2099000111,曹听澜,2
ACC-2026-12,数据库课程设计,2099000112,魏嘉树,1
ACC-2026-13,人机交互设计,2099000113,贺长风,1
ACC-2026-14,软件测试与质量,2099000114,潘明岚,1
ACC-2026-15,大数据平台实践,2099000115,薛以恒,1
ACC-2026-16,自然语言处理,2099000116,邵文清,2
ACC-2026-17,计算机视觉应用,2099000117,任柏舟,1
ACC-2026-18,分布式系统实践,2099000118,董初晴,1
ACC-2026-19,信息系统分析,2099000119,傅景深,1
ACC-2026-20,创新创业项目实践,2099000120,尹知微,1
